Reads	Bases	FileName	Process
1	37	ASM_10_R1.fastq	demux
1465181	221242331	ASM_10_R2.fastq	demux
888018	134090718	ASM_11_R1.fastq	demux
888018	134090718	ASM_11_R2.fastq	demux
1658262	250397562	ASM_12_R1.fastq	demux
1658262	250397562	ASM_12_R2.fastq	demux
334065	50443815	ASM_13_R1.fastq	demux
334065	50443815	ASM_13_R2.fastq	demux
1429280	215821280	ASM_14_R1.fastq	demux
1429280	215821280	ASM_14_R2.fastq	demux
1261927	190550977	ASM_15_R1.fastq	demux
1261927	190550977	ASM_15_R2.fastq	demux
263948	39856148	ASM_16_R1.fastq	demux
263948	39856148	ASM_16_R2.fastq	demux
1465945	221357695	ASM_17_R1.fastq	demux
1465945	221357695	ASM_17_R2.fastq	demux
1194047	180301097	ASM_18_R1.fastq	demux
1194047	180301097	ASM_18_R2.fastq	demux
1625266	245415166	ASM_19_R1.fastq	demux
1625266	245415166	ASM_19_R2.fastq	demux
1131539	170862389	ASM_1_R1.fastq	demux
1131539	170862389	ASM_1_R2.fastq	demux
1078879	162910729	ASM_20_R1.fastq	demux
1078879	162910729	ASM_20_R2.fastq	demux
31791	4800441	ASM_21_R1.fastq	demux
31791	4800441	ASM_21_R2.fastq	demux
1356712	204863512	ASM_22_R1.fastq	demux
1356712	204863512	ASM_22_R2.fastq	demux
1186713	179193663	ASM_23_R1.fastq	demux
1186713	179193663	ASM_23_R2.fastq	demux
1127526	170256426	ASM_24_R1.fastq	demux
1127526	170256426	ASM_24_R2.fastq	demux
6285	949035	ASM_25_R1.fastq	demux
6285	949035	ASM_25_R2.fastq	demux
9428	1423628	ASM_26_R1.fastq	demux
9428	1423628	ASM_26_R2.fastq	demux
100943	15242393	ASM_27_R1.fastq	demux
100943	15242393	ASM_27_R2.fastq	demux
1005169	151780519	ASM_28_R1.fastq	demux
1005169	151780519	ASM_28_R2.fastq	demux
1494614	225686714	ASM_29_R1.fastq	demux
1494614	225686714	ASM_29_R2.fastq	demux
1314462	198483762	ASM_2_R1.fastq	demux
1314462	198483762	ASM_2_R2.fastq	demux
1024176	154650576	ASM_30_R1.fastq	demux
1024176	154650576	ASM_30_R2.fastq	demux
9491	1433141	ASM_31_R1.fastq	demux
9491	1433141	ASM_31_R2.fastq	demux
1549474	233970574	ASM_32_R1.fastq	demux
1549474	233970574	ASM_32_R2.fastq	demux
836119	126253969	ASM_33_R1.fastq	demux
836119	126253969	ASM_33_R2.fastq	demux
1405506	212231406	ASM_34_R1.fastq	demux
1405506	212231406	ASM_34_R2.fastq	demux
304431	45969081	ASM_35_R1.fastq	demux
304431	45969081	ASM_35_R2.fastq	demux
1369614	206811714	ASM_36_R1.fastq	demux
1369614	206811714	ASM_36_R2.fastq	demux
1274315	192421565	ASM_37_R1.fastq	demux
1274315	192421565	ASM_37_R2.fastq	demux
910687	137513737	ASM_38_R1.fastq	demux
910687	137513737	ASM_38_R2.fastq	demux
1495977	225892527	ASM_39_R1.fastq	demux
1495977	225892527	ASM_39_R2.fastq	demux
556225	83989975	ASM_3_R1.fastq	demux
556225	83989975	ASM_3_R2.fastq	demux
410275	61951525	ASM_40_R1.fastq	demux
410275	61951525	ASM_40_R2.fastq	demux
1633325	246632075	ASM_41_R1.fastq	demux
1633325	246632075	ASM_41_R2.fastq	demux
1050927	158689977	ASM_42_R1.fastq	demux
1050927	158689977	ASM_42_R2.fastq	demux
1290130	194809630	ASM_43_R1.fastq	demux
1290130	194809630	ASM_43_R2.fastq	demux
1727094	260791194	ASM_44_R1.fastq	demux
1727094	260791194	ASM_44_R2.fastq	demux
404914	61142014	ASM_45_R1.fastq	demux
404914	61142014	ASM_45_R2.fastq	demux
1405705	212261455	ASM_46_R1.fastq	demux
1405705	212261455	ASM_46_R2.fastq	demux
1355999	204755849	ASM_47_R1.fastq	demux
1355999	204755849	ASM_47_R2.fastq	demux
1081691	163335341	ASM_48_R1.fastq	demux
1081691	163335341	ASM_48_R2.fastq	demux
1330768	200945968	ASM_49_R1.fastq	demux
1330768	200945968	ASM_49_R2.fastq	demux
1629997	246129547	ASM_4_R1.fastq	demux
1629997	246129547	ASM_4_R2.fastq	demux
1046199	157976049	ASM_50_R1.fastq	demux
